Name,Gender,LastLetter
Anbu,Male,u
Oppilan,Male,n
Agriya,Male,a
Zamir,Male,r
Heera,Female,a
Bhajan,Male,n
Kalpini,Female,i
Aaheli,Female,i
Narois,Female,s
Naini,Female,i
Lingamoorthy,Male,y
Aayushi,Female,i
Vyasa,Male,a
Omprakash,Male,h
Piyush,Male,h
Rajkumari,Female,i
Shankhamala,Female,a
"Arati, Aaarti",Female,i
"Ethaha, Etasha",Female,a
Aathmika,Female,a
Parameshwar,Male,r
Gunalan,Male,n
Sandeepan,Male,n
Mohan,Male,n
Vipra,Male,a
Pankaja,Female,a
Gandhik,Male,k
Yaduraj,Male,j
Bhargyaraj,Male,j
Kesar,Female,r
Phanindra,Male,a
Dinanath,Male,h
Ekram,Male,m
Nandan,Male,n
Faaris,Male,s
Om,Male,m
Keerthi,Female,i
Jayendra,Male,a
Amritkala,Female,a
Trayi,Female,i
Vaijayi,Male,i
Bhavya,Female,a
Kaustubh,Male,h
Yaksha,Female,a
Chetan,Male,n
Eila,Female,a
Devaraj,Male,j
Danish,Male,h
Yuthika,Female,a
Karna,Male,a
Juily,Female,y
Naotau,Male,u
Mythilli,Female,i
Vardhaman,Male,n
Pinaki,Male,i
Shravani,Female,i
Ruchir,Male,r
Veni,Male,i
Pradeepta,Female,a
Ravishu,Male,u
Chandrakanta,Male,a
Padmagriha,Female,a
Ekaparana,Female,a
Aaloka,Female,a
Chandrabhan,Male,n
Shatrujit,Male,t
Sampat,Male,t
Mrigendra,Male,a
Varuni,Female,i
Ved,Male,d
Shrivatsa,Male,a
"Anup, Anoop",Male,p
Manjubala,Female,a
Panini,Male,i
Chaman,Male,n
Jharna,Female,a
Mekhal,Male,l
Komala,Female,a
Taksheel,Male,l
Hradha,Female,a
Ritkriti,Female,i
Kshirin,Female,n
Jagadish,Male,h
Suchita,Female,a
Yayin,Male,n
Sita,Female,a
Sukriti,Female,i
Yatindra,Male,a
Ambika,Female,a
Nitin,Male,n
Reva,Female,a
Sajala,Female,a
Gandira,Male,a
Kundini,Female,i
Abhimani,Male,i
Atiya,Male,a
Sindhu,Female,u
Pravallika,Female,a
Amarta,Female,a
Gautam,Male,m
Umashankar,Male,r
Gita,Female,a
Dakshata,Female,a
Tvarita,Female,a
Sudeshna,Female,a
Deeptanshu,Male,u
Sabeena,Female,a
Shyamalima,Female,a
Suchitra,Female,a
Jihan,Male,n
Shriranga,Male,a
Pratik,Male,k
Motilal,Male,l
Mahijuba,Female,a
Dilawar,Male,r
Maharath,Male,h
Kedarnath,Male,h
Madhavilata,Female,a
Buddhadeva,Male,a
Devadas,Male,s
Nihar,Male,r
Oditi,Female,i
Parakram,Male,m
Hansini,Female,i
Sanika,Female,a
Shikhar,Male,r
Smaran,Male,n
Devasree,Female,e
Jaitra,Male,a
Upasana,Female,a
Mehdi,Male,i
Pahal,Female,l
Rakesh,Male,h
Har,Male,r
Shreyash,Male,h
Tanmayi,Female,i
Giva,Female,a
Pavana,Female,a
Vachan,Male,n
Shefalika,Female,a
Medhya,Female,a
Jhinuk,Female,k
Nirmit,Male,t
Paramita,Female,a
Satyavan,Male,n
Juana,Female,a
Najma,Female,a
Mayur,Male,r
Parinita,Female,a
Anulekha,Female,a
Atma,Male,a
Suman,Male,n
Ilavarasan,Male,n
Punyabrata,Male,a
Abhrakasin,Male,n
Jashan,Male,n
Rajani,Female,i
Murugan,Male,n
Pathin,Male,n
Elampirai,Female,i
Vatsala,Female,a
Fravash,Male,h
Azzam,Male,m
Chanchal,Male,l
Tusharkanti,Male,i
Maalai,Female,i
Dheeman,Male,n
Shams,Male,s
Kandavel,Male,l
Arivalagan,Male,n
Kaushika,Female,a
Shivlal,Male,l
Som,Male,m
Dhyana,Male,a
Shashirekha,Female,a
Abhayananda,Male,a
Faria,Female,a
Trilok,Male,k
Nipa,Female,a
Shri,Female,i
Krupa,Female,a
Jagath,Male,h
Lingam,Male,m
Premendra,Male,a
Vinayak,Male,k
Kshanaprabha,Female,a
Manavi,Female,i
Adalarasu,Male,u
Bajrang,Male,g
Tejeshwar,Male,r
Amrita,Female,a
Malarvili,Female,i
Dalapathi,Male,i
Dalajit,Male,t
Baruna,Female,a
Shrigopal,Male,l
Rituparan,Male,n
Urmika,Female,a
Kiya,Female,a
Intekhab,Male,b
Chitramala,Female,a
Keya,Female,a
Kshaunish,Male,h
Kurangi,Female,i
Tathagata,Male,a
Razak,Male,k
Shakib,Male,b
Mayil,Female,l
Lakshin,Male,n
Avanija,Female,a
Anuj,Male,j
Palanivel,Male,l
Trariti,Female,i
Ashu,Male,u
Manth,Male,h
Shivangi,Female,i
Jyotsana,Female,a
Sitakanta,Male,a
Rhea,Female,a
Umapati,Male,i
"Sharad, Sarat",Male,t
Supriya,Female,a
Kunsh,Male,h
Rajendrakumar,Male,r
Jyran,Male,n
Tannishtha,Female,a
Subhash,Male,h
Eta,Female,a
Uditi,Female,i
"Apurva, Apoorva",Male,a
Vaijayanti,Female,i
Nikki,Female,i
Mubarak,Male,k
Rajahansa,Female,a
Rochi,Female,i
Abdul-Khaaliq,Male,q
Kvanh,Male,h
Anita,Female,a
Krittika,Female,a
Faisal,Male,l
Dakshi,Male,i
Manaar,Male,r
Shyama,Female,a
Vasudev,Male,v
Mitul,Male,l
"Umanant, Umakant",Male,t
Padman,Male,n
Kabir,Male,r
Jishnu,Male,u
Pyarelal,Male,l
Madhur,Female,r
Nikhil,Male,l
Sudipti,Female,i
Lakshmidhar,Male,r
Devamayi,Female,i
Pavani,Male,i
Pusti,Female,i
Tulasi,Female,i
Waahid,Male,d
Manik,Male,k
Nishant,Male,t
"Sukant, Sukanta",Male,a
Haima,Female,a
Gourangi,Female,i
Chaitan,Male,n
Kanchi,Female,i
Surya,Male,a
Swapan,Male,n
Thevan,Male,n
Sharan,Male,n
Harinaksh,Male,h
Gina,Female,a
Giinni,Female,i
Kevalkumar,Male,r
Mohin,Male,n
Neelotpal,Male,l
Likhitha,Female,a
Anshuman,Male,n
Shabana,Female,a
Nakti,Female,i
Shridula,Female,a
Atmaja,Male,a
Dattatreya,Male,a
Sual,Male,l
Anjuman,Male,n
Miraya,Female,a
Shameena,Female,a
Sonam,Female,m
Ramani,Female,i
Bishanpal,Male,l
Devaj,Male,j
Arivuchelvan,Male,n
Chandana,Female,a
Yajnarup,Male,p
Abhyudaya,Male,a
Vibhishan,Male,n
Champa,Female,a
Manditha,Female,a
Tuhin,Male,n
Gitanjali,Female,i
Prabhav,Male,v
Aamani,Female,i
Mohamad,Male,d
Tanuj,Male,j
Manjeet,Male,t
Swapna,Female,a
Champika,Female,a
Mita,Female,a
Pradyumna,Male,a
Saravanan,Male,n
Aadhaya,Female,a
Isai,Female,i
Amita,Female,a
Girilal,Male,l
Zuleika,Female,a
Madhumay,Male,y
Pujit,Male,t
Yugma,Male,a
Ullalagi,Female,i
Druthi,Female,i
Ballari,Female,i
Ayog,Male,g
Saquib,Male,b
Saras,Male,s
Krishnakali,Female,i
Laranya,Female,a
Nadir,Male,r
Aruni,Female,i
Chitresh,Male,h
Fadl,Male,l
"Valmiki, Valmik",Male,k
Meghana,Female,a
Lakshmishree,Female,e
Jaiwant,Male,t
Dharmveer,Male,r
Shanta,Female,a
Saruchi,Female,i
Triguna,Female,a
Yadav,Male,v
Sahila,Female,a
Hamid,Male,d
Aashita,Female,a
Gunayukth,Male,h
Shalini,Female,i
Wamil,Female,l
Sanam,Male,m
Agniprava,Male,a
Nrupadh,Male,h
"Alaka, Alka",Female,a
Chanchal,Female,l
Uthami,Female,i
Divyanga,Male,a
Anamitra,Male,a
Hemachandra,Male,a
Faraz,Male,z
Lona,Female,a
Hemendu,Male,u
Pushkar,Male,r
Deepta,Female,a
Wajeeha,Female,a
Dakshakanya,Female,a
Bhavika,Female,a
Dakshesh,Male,h
Vipasa,Female,a
Pritikana,Female,a
Vallabh,Male,h
Yudhisthir,Male,r
Kanishta,Male,a
Anisa,Male,a
Ambarish,Male,h
Tvisha,Female,a
Priyanka,Female,a
Taha,Male,a
Nidhi,Female,i
Jyothi,Female,i
Binata,Female,a
Sangupt,Male,t
Poojit,Male,t
Himmat,Male,t
Prajin,Male,n
Fulki,Female,i
Nirmal,Male,l
Paramananda,Male,a
Damayanti,Female,i
Muthu,Male,u
Daman,Male,n
Abdullah,Male,h
Adwiteya,Female,a
Ilango,Male,o
Toshan,Male,n
Vibha,Female,a
Adityanandana,Male,a
Japesh,Male,h
Avikshit,Male,t
Karan,Male,n
Bhooshit,Male,t
Tusya,Male,a
Shyla,Female,a
Prasham,Male,m
Haniya,Female,a
Kuhuk,Female,k
Ritsika,Female,a
Vidyut,Female,t
Hans,Male,s
Abhijaya,Male,a
Unmesh,Male,h
Aashika,Female,a
Premala,Female,a
Orman,Male,n
Amalesh,Male,h
Sunitha,Female,a
Chandak,Male,k
Kanta,Female,a
Iniya,Female,a
Narendra,Male,a
Bipin,Male,n
Nambi,Male,i
Talaketu,Male,u
Arpana,Female,a
Ryka,Female,a
Aloke,Male,e
Aslesha,Female,a
Ilancheliyan,Male,n
Nayantara,Female,a
Ruchita,Female,a
Turanyu,Male,u
Trishanku,Male,u
Jyotika,Female,a
Gandha,Female,a
Dakshayani,Female,i
Vari,Female,i
Parnad,Male,d
Ramith,Male,h
Manoj,Male,j
Nalin,Male,n
Natwar,Male,r
Suneeti,Female,i
Kutraalan,Male,n
Bharadwaj,Male,j
Kumuda,Female,a
Yukta,Male,a
Jatya,Male,a
Arjit,Male,t
Mahadev,Male,v
Daarun,Male,n
Anmol,Male,l
Kuntal,Female,l
Aja,Male,a
Harith,Male,h
Samyama,Female,a
Bhanumati,Female,i
Poonish,Male,h
Udar,Male,r
Anish,Male,h
Seerat,Female,t
Chandraprakash,Male,h
Rizvan,Male,n
Sasmita,Female,a
Poorbi,Female,i
Navalan,Male,n
Mukesh,Male,h
Abhishek,Male,k
Satya,Female,a
Kartar,Male,r
Chandravathi,Female,i
Qays,Male,s
Kamalika,Female,a
Pyas,Female,s
Madhulla,Female,a
Vir,Male,r
Tamonash,Male,h
Hiya,Female,a
Kundanika,Female,a
Advika,Female,a
Nishikanta,Male,a
Urjita,Male,a
Anandi,Female,i
Manajith,Male,h
Amalendu,Male,u
Tulsidas,Male,s
Nirmala,Female,a
Neelkamal,Female,l
Pankhadi,Female,i
Anarghya,Male,a
Amal,Male,l
Poorna,Male,a
Layak,Male,k
Satha,Female,a
Vikesh,Male,h
Kamana,Female,a
Purvi,Female,i
Vivek,Male,k
Mandakini,Female,i
Gagandeep,Male,p
Sammathi,Female,i
Sushruta,Male,a
Uttiya,Male,a
Bhagat,Male,t
Deeptiman,Male,n
Indrayani,Female,i
Suhail,Male,l
Dyumani,Male,i
Maitra,Female,a
Palak,Male,k
Sulekh,Female,h
Nirajit,Male,t
Maitreya,Female,a
Wasan,Male,n
Dharani,Female,i
Tusti,Female,i
Devamadana,Male,a
Ompati,Male,i
Pavan,Male,n
Bairavi,Female,i
Manohari,Female,i
Shrinivas,Male,s
Vishwesh,Male,h
Umanand,Male,d
Gulal,Female,l
Kanjari,Female,i
Nandita,Female,a
Huthayfa,Male,a
Azeez,Male,z
Lalasa,Female,a
Nitara,Female,a
Shiuli,Female,i
Manini,Female,i
Banhishikha,Female,a
Lola,Female,a
Soumyakanti,Male,i
Niranjana,Female,a
Subhagya,Female,a
Tejaswini,Female,i
Swapnali,Female,i
Divyana,Female,a
Karunamayi,Female,i
Samata,Female,a
Purnima,Female,a
Pankajadharini,Female,i
Nakshatra,Male,a
"Urmila, Urmil",Female,l
Sashreek,Male,k
Tabassum,Female,m
Nripesh,Male,h
Suvan,Male,n
Muwafaq,Male,q
Shriyans,Male,s
Gagan,Male,n
Bahuratna,Female,a
Mandan,Male,n
Dhanapriya,Female,a
Bharati,Female,i
Senmal,Male,l
Gudakesha,Male,a
Magan,Male,n
Sarvika,Female,a
Kasni,Female,i
Palaksi,Female,i
Vyom,Male,m
Sampatti,Female,i
Prabodh,Male,h
Wuar,Male,r
Gowri,Female,i
Tejashree,Female,e
Arindam,Male,m
Ramkrishna,Male,a
Jayita,Female,a
Saaras,Male,s
Girindra,Male,a
Satyarupa,Female,a
Sangita,Female,a
Suresh,Male,h
Kirik,Male,k
Sacchidananda,Male,a
Sarasija,Male,a
Jetashri,Female,i
Hiranya,Male,a
Alaknanda,Female,a
Draupadi,Female,i
Rasika,Female,a
Jashun,Male,n
Namana,Female,a
Shreya,Female,a
Haashim,Male,m
Kuvalai,Female,i
Ojeeta,Female,a
Subrata,Male,a
Kausar,Male,r
Kamali,Female,i
Baalaark,Male,k
"Simrit, Smrita",Female,a
Bandhini,Female,i
Pramod,Male,d
Amodini,Female,i
Kanyana,Female,a
Pushpak,Male,k
Zulfikar,Male,r
Amoha,Male,a
Dharmanand,Male,d
Ruhi,Female,i
Rupika,Female,a
Ekapad,Male,d
Nauhar,Male,r
Anathi,Female,i
Haatim,Male,m
Manasvi,Female,i
Karunakar,Male,r
Nikhita,Female,a
Prabuddha,Male,a
Zaina,Female,a
Ehimay,Male,y
Salaman,Male,n
Santayani,Female,i
Moti,Male,i
Mallesh,Male,h
Parasmani,Male,i
Thangam,Male,m
Padmashri,Female,i
Sanchaya,Female,a
Sadaf,Female,f
Yuyutsu,Male,u
Kuvira,Female,a
Aradhana,Female,a
Sahdev,Male,v
Haani,Male,i
Rupa,Female,a
Devadhipa,Male,a
Devan,Male,n
Bibhas,Male,s
Shalaka,Female,a
Manjistha,Female,a
Keerthana,Female,a
Vibhat,Male,t
Babitha,Female,a
Bankim,Male,m
Nalina,Female,a
Revati,Female,i
Trishala,Female,a
Akshar,Male,r
Vishala,Female,a
Prashanta,Male,a
Indrakanta,Male,a
Tanav,Male,v
Jagan,Male,n
Sakhi,Female,i
Ratnangi,Female,i
Akshita,Female,a
ThenMoli,Female,i
Safia,Female,a
Iyla,Female,a
Sultan,Male,n
Bhuvana,Female,a
Eshani,Female,i
Anshula,Female,a
Malina,Female,a
Swasti,Female,i
Gourishankar,Male,r
Jaipal,Male,l
Khajit,Male,t
Lochan,Female,n
Amani,Female,i
Sukumari,Female,i
Barun,Male,n
Nairit,Male,t
Anuprabha,Female,a
Dhanvant,Male,t
Aditya,Male,a
Gulika,Female,a
Hanan,Male,n
Tanvir,Male,r
Haaroon,Male,n
Triya,Female,a
Santosh,Male,h
Sambaran,Male,n
Pratitha,Female,a
Gayanthika,Female,a
Vilina,Female,a
Ashna,Female,a
Deepashikha,Female,a
Oorja,Female,a
Anuragini,Female,i
Markandeya,Male,a
Chaman,Female,n
Shefali,Female,i
Dharmaditya,Male,a
Smriti,Female,i
Puru,Male,u
Kusum,Female,m
Chaitaly,Female,y
Ilisha,Female,a
Ottakoothan,Male,n
Jeevika,Female,a
Eesha,Female,a
Gajanan,Male,n
Dhiraj,Male,j
Sanjivan,Male,n
Fadheela,Female,a
Hridaynath,Male,h
Janav,Male,v
Shashishekhar,Male,r
Udyan,Male,n
Sukthi,Female,i
Dwipavati,Female,i
Netra,Female,a
Trilochana,Female,a
Pranita,Female,a
Rohitasva,Male,a
Kamalkali,Female,i
Nirbhay,Male,y
Omeshwar,Male,r
Madan,Male,n
Shraddha,Female,a
Dwijesh,Male,h
Pyaremohan,Male,n
Nabendu,Male,u
Trambak,Male,k
Kundan,Female,n
Pujesh,Male,h
Vidyasagar,Male,r
Madhuksara,Female,a
Suvarnarekha,Female,a
Wali,Male,i
Vishnumaya,Female,a
Harshika,Female,a
Harshaman,Male,n
Keva,Female,a
Pukhraj,Male,j
Mangai,Female,i
Padmanabha,Male,a
Hasita,Female,a
Kiran,Female,n
Charumati,Female,i
Nirad,Male,d
Jakarious,Male,s
Lajjawati,Female,i
Antara,Female,a
Dayashankar,Male,r
Qudamah,Male,h
Sudeepa,Female,a
Rajendramohan,Male,n
Niket,Male,t
Kayalvili,Female,i
Gokul,Male,l
Suvimal,Male,l
Savitri,Female,i
Nithik,Male,k
Raji,Female,i
"Bhavana, Bhavna",Female,a
Basavaraj,Male,j
Sulalita,Female,a
Minati,Female,i
Kavi,Male,i
Shashimohan,Male,n
Madhumita,Female,a
Prachur,Male,r
Bahuleya,Male,a
Chandalini,Female,i
Dharmachandra,Male,a
Induleksh,Female,h
Harishchandra,Male,a
Kamran,Male,n
Umaprasad,Male,d
Nayan,Male,n
Ojas,Male,s
Ragini,Female,i
Irfan,Male,n
Taruntapan,Male,n
Dharmendra,Male,a
Mehal,Female,l
Vikram,Male,m
Talikha,Female,a
Komal,Female,l
Kshirja,Female,a
Rudra,Male,a
Qutub,Male,b
Kuldeep,Male,p
Koormadhi,Male,i
Shakuntala,Female,a
Devalekha,Female,a
Saurabh,Male,h
Vedprakash,Male,h
Ishit,Male,t
Mutholi,Female,i
Dharanidhar,Male,r
Vela,Female,a
Ekambar,Male,r
Kavita,Female,a
Rajyeshwar,Male,r
Sevak,Male,k
Kundanlal,Male,l
Darshana,Female,a
Sengannan,Male,n
Alabhya,Male,a
Raghuram,Male,m
Suranjana,Female,a
Vidyadhar,Male,r
Chandrakishore,Male,e
Sumantra,Male,a
Arshia,Female,a
Dhanya,Female,a
Jagad,Male,d
Dyuti,Female,i
Farid,Male,d
Bhadranidhi,Male,i
Chaanakya,Male,a
Ishika,Female,a
Vibhore,Male,e
Rolee,Female,e
Ulhas,Male,s
Asavari,Female,i
Palashranjan,Male,n
"Durva, Durba",Female,a
Bhaumik,Male,k
Menaka,Female,a
Egaiarasu,Male,u
Lokajit,Male,t
Glen,Male,n
SivaSankari,Female,i
Mukul,Male,l
Dyutit,Male,t
Navneeta,Female,a
Snehanshn,Male,n
"Amitabha, Amitav",Male,v
Thangavel,Male,l
Gajendra,Male,a
Krishnala,Male,a
Vidyadhara,Male,a
Prithu,Male,u
Sragvibhushan,Male,n
Madhuja,Female,a
Samanvaya,Male,a
Baruni,Female,i
Aamrapali,Female,i
Nanda,Female,a
Gandharika,Female,a
Chitral,Male,l
Tilak,Male,k
Hakesh,Male,h
Manmohan,Male,n
Saheli,Female,i
Vinutha,Female,a
Bhagyanandana,Male,a
Roshan,Male,n
Keshika,Female,a
Sawini,Female,i
Ranvitha,Female,a
Aijaz,Male,z
Vama,Female,a
Indumati,Female,i
Rusham,Female,m
Mahavir,Male,r
Hariram,Male,m
Vishaya,Female,a
Aabha,Female,a
Anshumat,Male,t
Jaisukh,Male,h
Shekhar,Female,r
Ramita,Female,a
Hema,Female,a
Anamika,Female,a
Devadatta,Male,a
Chittesh,Male,h
Stavita,Female,a
Sameena,Female,a
Sachin,Male,n
Jagannath,Male,h
Annapurna,Female,a
Indratha,Female,a
Adit,Male,t
Chiranjeev,Male,v
Badri,Male,i
Saral,Male,l
Dheivamani,Male,i
Hridayanand,Male,d
"Vijendra, Vijanyendra",Male,a
Girija,Female,a
Krishanu,Male,u
Adrisa,Female,a
Deepit,Male,t
Poshika,Female,a
Ahladitha,Female,a
Jigya,Female,a
Chitragupta,Male,a
Padmakali,Female,i
Ketki,Female,i
Ishwari,Female,i
Shaktidhar,Male,r
Janak,Male,k
Praveena,Female,a
Krishnadeva,Male,a
Sarat,Male,t
Yuvaraani,Female,i
Lukesh,Male,h
Jeevankala,Female,a
Naima,Female,a
Samarendu,Male,u
Agendra,Male,a
Jagesh,Male,h
Dhikshit,Male,t
Naadir,Male,r
Suvarnmala,Female,a
Kunjal,Female,l
Taj,Male,j
Deeptimoyee,Female,e
Harkrishna,Male,a
Grahish,Male,h
Sadaiappan,Male,n
Navita,Female,a
Matangi,Female,i
Sameen,Male,n
"Aseem, Ashim",Male,m
Ishya,Female,a
Khyath,Female,h
Vishnu,Male,u
Anjalika,Female,a
Yashodhara,Male,a
Lata,Female,a
Neha,Female,a
Rasik,Male,k
Gurmeet,Male,t
Kalipada,Male,a
Venu,Male,u
Dhatri,Female,i
Nabhanyu,Male,u
Abhimanyusuta,Male,a
Naamagal,Female,l
Megha,Female,a
Talleen,Male,n
Pallavini,Female,i
Omar,Male,r
Vidhi,Female,i
Rochan,Male,n
Arshad,Male,d
Samarth,Male,h
Atmaja,Female,a
Aesha,Female,a
Mithun,Male,n
Ekavali,Female,i
Brijmohan,Male,n
Deepa,Female,a
Mannith,Male,h
Deepti,Female,i
Aapti,Female,i
Kusumakar,Male,r
Vengai,Male,i
Lipika,Female,a
Hashmat,Male,t
Yash,Male,h
Naishada,Female,a
Oni,Male,i
Meru,Male,u
Ilamparidhi,Male,i
Japendra,Male,a
Lakshmibanta,Male,a
Vinay,Male,y
Jalad,Male,d
Upamanyu,Male,u
Bansari,Female,i
Gira,Female,a
Rani,Female,i
Gandhi,Male,i
Viral,Male,l
Rabia,Female,a
Swarupa,Female,a
Udipti,Female,i
Raveena,Female,a
Devendra,Male,a
Vilok,Male,k
Ila,Female,a
Chandratara,Female,a
Mahanidhi,Male,i
Nischith,Male,h
Kalicharan,Male,n
Tarachand,Male,d
Chandanika,Female,a
Khazana,Male,a
Kathith,Male,h
Ilaiyavan,Male,n
Avkash,Male,h
Katran,Male,n
Nishita,Male,a
Khadim,Male,m
Nabha,Female,a
Anay,Male,y
Ratnavali,Female,i
Adi-Shakti,Female,i
Srujana,Female,a
Pushpita,Female,a
Raghu,Male,u
Niral,Female,l
Kirtana,Female,a
Samrithi,Female,i
Yashwant,Male,t
Gadin,Male,n
Surama,Female,a
Mahmud,Male,d
Nami,Female,i
Saunak,Male,k
Rahas,Male,s
Pranit,Male,t
Acaryatanaya,Male,a
Aamaal,Female,l
Nityananda,Male,a
Baridbaran,Male,n
Yuktha,Female,a
Waheeda,Female,a
Rutva,Male,a
Bindumathi,Female,i
Vritti,Female,i
Chandrachur,Male,r
Acarya,Male,a
Angarika,Female,a
Snehin,Male,n
Bratindra,Male,a
Ayushman,Male,n
Imtiaz,Male,z
Sanchita,Female,a
Aahna,Female,a
Yajna,Female,a
Chinnadurai,Male,i
Neelmani,Male,i
Hemendra,Male,a
Salma,Female,a
Mrudani,Female,i
Chandrabali,Female,i
Raheem,Male,m
Avanindra,Male,a
Pashupriya,Female,a
Chitrabhanu,Male,u
Neelakshi,Female,i
Gurdeep,Male,p
Sadhana,Female,a
Yogita,Female,a
Meena,Female,a
Bhargavi,Female,i
Darpan,Male,n
Bhagwanti,Female,i
Manavendra,Male,a
Adwita,Female,a
Subhan,Male,n
Zahra,Female,a
Sucheta,Female,a
Videsh,Male,h
Gangesh,Male,h
Deepika,Female,a
Mehul,Male,l
Devnath,Male,h
Mukul,Female,l
Aashay,Male,y
Koyel,Female,l
Anil,Male,l
Kashyap,Male,p
Harsha Vardhini,Female,i
Tarik,Male,k
Megha,Male,a
Sachit,Male,t
Bhadrang,Male,g
Ashok,Male,k
Tilaka,Female,a
Somansh,Male,h
Ritvik,Male,k
Divyendu,Male,u
Chaaruhaas,Male,s
Huda,Male,a
Cholan,Male,n
Ninad,Male,d
Brahamjeet,Male,t
Chakor,Male,r
Mrinmayi,Female,i
Shachin,Male,n
Banani,Female,i
Naviya,Female,a
Zaafira,Female,a
Madhav,Male,v
Dwijaraj,Male,j
Vagdevi,Female,i
Sabita,Female,a
Ishi,Female,i
Ilamporai,Male,i
Ayushi,Female,i
Sundari,Female,i
Manjyot,Female,t
Lakhi,Female,i
Phenil,Male,l
Prachi,Female,i
Mohul,Male,l
Poornakamala,Female,a
Sukhamay,Male,y
Arokya,Male,a
Siddharth,Male,h
Chiti,Female,i
Hrithik,Male,k
Sundha,Female,a
Pinakini,Female,i
Shevantilal,Male,l
Fanishwar,Male,r
Oma,Male,a
Oparna,Female,a
Ilakkiya,Female,a
Kaunteya,Male,a
Shankha,Male,a
Gopa,Female,a
Kavan,Male,n
Vilas,Male,s
Rajanya,Male,a
Zakiy,Male,y
Kaaliya,Male,a
Garima,Female,a
Tapasendra,Male,a
Shambhavi,Female,i
Milind,Male,d
Sadiqua,Female,a
Mandith,Male,h
Devamati,Female,i
Harjeet,Male,t
Pavitra,Male,a
Utkarsha,Male,a
Ghalib,Male,b
Inayat,Female,t
Namita,Female,a
Manonith,Male,h
Abhiraj,Male,j
Hariganga,Female,a
Manjira,Female,a
Mudrika,Female,a
Parashar,Male,r
Arav,Male,v
Harshitha,Female,a
Nalini,Female,i
Odathi,Female,i
Soumya,Female,a
Sunayana,Female,a
Jagadishwara,Male,a
Rishika,Female,a
Geena,Female,a
Esha,Female,a
Quamar,Male,r
Apsara,Female,a
Sarada,Female,a
Chaitali,Female,i
Rasul,Male,l
Bahumanya,Male,a
Haresh,Male,h
Kiranmay,Male,y
Sevati,Female,i
Jehannaz,Female,z
Achintya,Male,a
Vrajakishore,Male,e
Manjulika,Female,a
Harikanth,Male,h
Narayani,Female,i
Parantapa,Male,a
Purva,Female,a
Brahmabrata,Male,a
Shailendra,Male,a
Suhrita,Female,a
Shilpa,Female,a
Manjushri,Female,i
Ashis,Female,s
Keshav,Male,v
Renuka,Female,a
Shama,Female,a
Shariq,Male,q
Padmakshi,Female,i
Abdul-Haseeb,Male,b
Ramanuja,Male,a
Mandeep,Male,p
Mohini,Female,i
Indumukhi,Female,i
Urmi,Female,i
Faatina,Female,a
Snehalata,Female,a
Haritbaran,Male,n
Sheetal,Male,l
Kanishka,Male,a
Wamika,Female,a
Pransukh,Male,h
Chaaruchandra,Male,a
Priyasha,Female,a
Vrajamohan,Male,n
Pranauthi,Female,i
Meghnad,Male,d
Izhar,Male,r
Nabhas,Male,s
Mohajit,Male,t
Sarasi,Female,i
Ashwini,Female,i
Umika,Female,a
Dhanajit,Male,t
Sudhanshu,Male,u
Sourish,Male,h
Sukumar,Male,r
Vihaan,Male,n
Radhana,Female,a
"Simran, Smaram",Female,m
Hansa,Female,a
Utpala,Female,a
Kiran,Male,n
Naathim,Male,m
Abhinava,Male,a
Shagufta,Female,a
Dhanraj,Male,j
Jaafar,Male,r
Vatsa,Male,a
Yamajith,Male,h
Manaal,Male,l
Prabhada,Female,a
Paavai,Female,i
Lokranjan,Male,n
Vaidyanaath,Male,h
Chhabi,Female,i
Nitima,Female,a
Fahad,Male,d
Adityavardhana,Male,a
Manvik,Male,k
Punyasloka,Male,a
Chitrani,Female,i
Meghdutt,Male,t
Paramhansa,Male,a
Bitasok,Male,k
Snigdha,Female,a
Puja,Female,a
Bandhul,Male,l
Neeti,Female,i
Niraj,Male,j
Chemmal,Male,l
Punarnava,Female,a
Naina,Female,a
Bikram,Male,m
Anugya,Male,a
Dhritiman,Male,n
Takshak,Male,k
Balachandrav,Male,v
Triparna,Female,a
Tanaya,Female,a
Nishi,Female,i
Kanchana,Female,a
Baijayanthi,Female,i
Devajyoti,Male,i
Narahari,Male,i
Udiramalara,Female,a
Jinendra,Male,a
Rohana,Female,a
Debanshi,Female,i
Shubhashis,Male,s
Suhitha,Female,a
Hasumati,Female,i
Champakmala,Female,a
Tejomay,Male,y
Sudhi,Male,i
Manish,Male,h
Maina,Female,a
Madanapal,Male,l
Vanhi,Female,i
Achala,Female,a
Vibhu,Male,u
Cyril,Male,l
Indrasuta,Male,a
Pramiti,Female,i
Manikuntala,Female,a
Nabhomani,Male,i
Nakshatra,Female,a
Rajata,Female,a
Mallikarjuna,Male,a
Pritilata,Female,a
Sagari,Female,i
Navadurga,Female,a
Wajid,Male,d
Muthunagai,Female,i
Pravar,Male,r
Abhyagni,Male,i
Rukma,Female,a
Kapalini,Female,i
Ishrat,Male,t
Vipula,Female,a
Vipul,Male,l
Rajnish,Male,h
Tehzeeb,Female,b
Subhashini,Female,i
Mustafa,Male,a
Pallav,Male,v
Swarnalata,Female,a
Sujay,Male,y
Vibhuti,Female,i
Ekadhana,Female,a
Someshwar,Male,r
Devang,Male,g
Hammad,Male,d
Shivshankar,Male,r
Pravir,Male,r
Panduranga,Male,a
Gulzarilal,Male,l
Chandrakirthi,Male,i
Bhavini,Female,i
